MaxTemp,RelativeHumidity,Rainfall
26.7,70,10
33.6,65,2
37.5,73,90
37.7,69,90
34.7,81,274
34.1,87,333
34.8,89,392
32.9,86,326
33.8,87,352
32.3,80,52
30.3,75,13
29.4,72,0
29.2,70,14
33.6,65,0
37.3,53,0
36.9,75,86
37.3,79,211
32.8,90,810
32.3,86,320
32.8,86,433
34.2,85,172
33.1,82,218
29.9,74,0
29.1,73,10
27.4,71,0
32.9,54,0
36.2,64,0
35.8,69,54
36.6,79,214
33.7,85,254
32.3,88,502
32.3,86,247
33.8,85,149
33.9,82,71
31.3,78,99
28.2,73,0
28,68,12
34.1,59,5
36.2,67,189
37.7,73,135
34.1,83,69
32.3,88,433
33,85,396
32.3,85,489
33.3,84,286
33.7,82,121
30.4,77,53
28.1,75,13
28,77,68
30.8,70,69
35.8,58,16
37.7,66,117
37.2,77,114
34.6,86,487
32.7,87,385
35.9,85,125
34.8,86,144
32.9,79,29
30.6,70,0
28.8,74,0
30.6,71,0
31,70,95
36.6,55,5
37.3,70,64
36.1,81,200
35.9,84,161
33.8,86,184
33.4,86,267
33.4,85,91
33.9,83,191
33.1,77,0
29.6,77,0
29.1,75,15
31,66,4
37.7,65,78
37.7,75,78
35.5,81,254
34.8,88,368
33.3,88,230
33.4,88,413
33.4,89,445
32.2,89,568
29.7,76,0
27.4,76,0
27.4,68,0
34.3,59,0
37.1,60,16
37.7,63,19
37.6,75,358
34.2,85,304
33.1,89,655
33.3,87,189
33.7,88,231
33.4,80,38
28.9,75,24
28.7,75,0
29.2,71,1
31.7,66,12
36.3,70,20
37.2,70,205
36.6,80,219
35.1,88,856
34.3,87,296
32.8,88,288
33.6,87,221
32.6,84,52
30.6,76,0
31,77,0
29.3,70,0
31.6,66,15
37.4,49,6
37.2,68,166
35.9,79,205
35,87,191
35.1,85,355
32.7,86,273
33.6,85,395
32.5,78,180
31.1,74,0
28,74,0
28.1,67,0
33.1,56,0
36.1,55,51
37.2,67,98
34.9,80,219
34.7,86,621
32.7,86,404
32.7,85,186
34.9,85,200
33.2,83,182
31.1,77,7
28.2,74,3
29.9,69,9
34.7,67,42
36.7,63,18
36.7,76,296
36.7,79,236
34.9,86,354
32.6,88,629
32.8,85,155
34.3,85,269
32.9,86,283
30.6,77,41
28.3,72,0
28.6,69,0
31.6,63,28
35.8,57,22
37.3,69,55
36.6,78,305
34.2,88,442
32.4,87,304
33.4,87,480
33.3,86,300
32.9,80,50
32.6,77,131
28.9,79,0
26.3,69,1
30.3,63,8
33.9,61,42
37.6,71,34
37.6,78,127
35.6,84,270
32.8,85,291
32.8,84,306
34.1,84,496
31.9,80,261
30.5,74,14
27.2,73,15
27.2,71,23
33.6,64,12
34.9,70,168
37.7,63,185
36.1,79,216
35.4,84,241
32.8,85,363
33.9,85,504
32.7,87,266
33.3,77,74
29.9,69,1
28.3,71,0
27.2,68,0
31.6,59,5
36.9,56,121
37.7,69,27
36.9,76,194
33.1,88,590
33.3,86,480
34.2,85,212
35.3,82,128
32.8,80,69
31.2,74,74
29.4,73,0
28.3,67,0
35.1,60,1
35.8,65,65
37.2,72,86
37.1,74,95
34.2,86,249
32.8,86,198
33.3,88,540
34.4,82,201
32.8,78,103
32.2,73,2
27.8,72,0
27.8,70,16
32.3,62,8
37.2,62,23
36.9,72,45
37.2,75,192
34.4,86,276
34.2,87,496
34.2,86,280
33.3,85,200
32.9,85,427
30.9,74,32
27.8,71,0
26.7,69,3
31.6,63,28
33.9,61,40
34.7,71,87
35.3,78,344
32.8,84,339
33.3,85,550
32.7,84,540
33.8,84,269
32.8,80,118
30.2,74,95
27.7,73,3
30.5,69,0
31.7,64,11
36.7,60,12
36.8,74,248
36.1,78,340
35.2,84,353
35.6,86,249
32.4,87,380
34.6,82,110
33.8,77,105
31.1,71,0
30.9,68,0
31.2,64,0
33.6,62,21
36.3,62,32
37.7,74,131
33.3,85,621
33.5,87,414
31.6,87,381
32.9,86,238
36.7,87,348
33.2,83,128
30.6,82,64
26.7,78,86
26.3,69,1
30.3,63,8
33.9,61,42
34.7,71,117
33.4,78,279
32.9,84,347
31.6,85,364
31.8,84,297
32.2,84,265
32,80,153
30.6,74,19
27.7,73,3
27.2,69,1
31.9,63,29
37.2,57,13
37.6,71,98
36.7,79,317
34.9,84,235
32.2,89,559
34.4,85,307
33.4,87,329
33.2,86,232
30.2,77,25
26.8,70,0
29.2,66,0
32.8,67,7
37,64,117
37.6,66,34
36.2,80,459
33.9,88,627
32.4,87,346
32.8,87,361
33.9,83,165
33.1,79,114
32.4,74,8
28.7,71,0
27.4,66,0
32.3,66,66
35.6,69,71
33.3,81,255
34.7,83,381
33.8,88,252
33.6,87,306
34.4,84,92
35,85,131
32.2,79,273
31.9,78,10
29.4,74,24
34.2,67,0
33,61,20
36.1,53,18
37.2,73,194
35.3,84,454
33.3,88,529
32.9,87,320
33.8,83,426
33.6,86,192
33.4,80,98
32.9,72,0
29.8,68,0
28.3,68,3
31.1,62,13
36.6,57,6
37.3,66,17
37.4,72,114
37.3,83,258
33.9,86,267
35.1,85,525
34.2,85,382
32.7,79,146
31.8,75,55
27.2,77,51
28.9,69,3
32.2,66,32
36.2,64,54
37.2,68,147
35.4,80,414
36.7,85,323
32.8,86,380
33.6,85,269
33.6,85,296
32.5,82,300
31.7,70,0
28.9,69,0
27.8,70,10
32.9,67,42
34,65,109
35.4,76,274
35,78,272
35.9,81,168
33.3,88,356
36.5,84,188
35,84,320
33.4,70,82
33.1,67,9
29,71,35
30.1,68,0
30.3,63,15
36.1,64,81
37.8,72,104
38.3,73,154
36.6,86,514
34.8,84,136
33.2,86,346
34.8,84,258
34.4,78,146
32.1,75,51
27.2,73,0
28.1,73,14
31.7,63,61
36.2,70,138
37.8,72,318
36.4,80,348
35.6,84,300
34.4,85,179
33.6,86,437
33.1,87,322
33.6,84,253
32.8,70,0
28.8,72,18
27.2,69,13
33,61,1
38,56,5
37.6,70,124
35.8,83,707
35.8,86,637
32.5,86,694
35.4,86,311
34.5,83,478
34,79,58
31.8,68,0
30,72,0
29.4,70,8
32.4,60,1
37.8,69,195
35.8,74,176
35.1,79,300
35,84,399
34.3,85,262
34.7,83,317
35,84,306
35.5,75,79
33.3,71,0
30.6,70,10
30,72,22
32.3,59,0
39.5,55,23
38,74,247
37.2,76,191
36.8,83,304
34.5,85,443
36,82,171
34.5,85,687
33.9,81,237
33.1,78,172
29,75,3
29.8,73,4
34,65,0
38.6,65,33
39.5,74,230
38,74,109
40.8,83,316
34.1,88,526
34.7,84,462
34.6,84,363
35.1,78,104
33,73,7
29.2,76,33
29.2,71,0
32.8,67,44
37,69,74
39,74,282
36.2,80,513
36.8,85,580
35.2,85,255
34.1,84,169
36,82,196
35.1,78,213
33,74,153
29.3,78,3
27.9,68,0
32.6,64,32
37.2,58,0
38.4,68,85
39.4,78,228
36.5,82,319
34.1,84,347
35.5,79,59
35.3,85,305
35.4,82,240
33.4,74,0
30,73,12
28.2,77,0
30.4,69,36
34.6,73,151
34.5,77,154
35.4,79,202
34.2,84,229
32.7,87,567
35.3,83,227
34.8,84,247
34,78,181
32.8,75,103
28.6,71,6
28,69,27
33,63,8
36.8,61,46
37.8,71,53
34.2,78,529
34,84,320
35,85,318
36.2,84,345
34.5,84,692
35,80,392
30.2,74,14
29.3,73,106
27.4,69,1
28,63,47
36.6,61,0
39.2,71,25
36.2,78,153
35.8,84,132
33.8,85,386
35.2,84,182
35,84,148
34.6,80,83
33.5,74,2
27.8,73,0
28.6,73,5
32,69,53
34.6,62,87
37,70,113
35,80,556
34.3,82,486
33.2,84,418
33.3,85,439
35.3,83,374
33.6,82,217
30.8,79,19
29.1,75,0
29.1,69,13
31,67,54
35.2,65,115
37.6,70,201
36.1,76,254
34.8,81,266
34,79,153
34.1,81,246
35,78,169
34.5,74,55
33,71,14
29.8,65,0
29.2,64,8
30.8,66,31
38.8,58,0
39,64,88
38,75,264
36.6,81,237
33.5,82,354
34.7,82,360
35.6,82,205
34.6,78,91
34.2,74,112
28.6,70,1
29.2,73,0
32,67,21
37.6,67,54
38.4,70,199
36.5,78,208
35.5,83,343
34.1,84,257
35.5,85,361
37.5,83,244
35.4,79,357
33.7,76,0
30.3,72,0
27.6,70,2
31.3,64,7
35.6,66,136
34.7,75,133
36.2,77,151
35.5,82,249
34.4,86,549
37.5,84,230
34,86,402
34,78,39
33.7,75,1
29,80,22
27.3,77,49
30.8,68,4
34.8,64,83
35.7,75,178
37.5,78,405
35.8,81,91
34.1,87,521
34.6,86,552
36.2,85,246
35.7,82,100
33.6,78,83
30.3,77,0
29.4,72,0
34.2,65,0
37.6,57,0
37.6,69,21
37.5,79,428
36.6,83,348
35.6,86,553
34,84,282
34.6,84,361
34.6,83,368
32.4,76,13
29.7,71,0
28.7,72,13
28.2,61,44
34,63,172
35.1,73,189
36.6,78,471
35.2,80,192
35.2,80,200
35,81,426
34.4,81,214
34.9,82,272
32.5,73,0
27.3,69,0
28,63,0
31.4,62,1
35.8,56,33
37.5,67,46
35,79,402
33.8,84,392
34,82,202
34,82,205
34.2,83,209
34.8,81,177
32,78,18
28.4,75,0
28.2,68,24
33.5,58,4
35.5,58,51
34.3,73,111
35.4,79,272
34.4,84,373
35.2,85,446
34.1,82,272
35,79,144
34.2,75,52
32,74,40
29.5,74,0
27.5,75,0
31.6,66,25
34,65,96
36.2,71,123
36.3,73,140
36.7,82,473
35.3,80,191
35.1,79,202
34.2,83,264
34,81,134
32.1,67,0
29.2,73,45
27.5,74,0
32.8,61,0
35.7,63,9
35.2,73,167
38.1,68,162
35.2,82,476
34.5,82,295
34.6,79,191
34,86,839
34.5,75,208
31.1,70,0
29.4,71,0
28.5,69,1
32.1,61,3
35.6,67,155
37,67,91
36.4,74,291
36.6,80,259
33.7,82,542
34,83,361
35.1,82,514
34.6,81,417
31.4,73,3
29,67,0
28.2,69,0
35.9,66,0
38.5,54,0
37.1,68,181
36.8,73,185
35,82,326
35.6,80,331
35.2,78,167
35.7,81,663
34.7,77,61
32.6,69,5
30.1,70,0
28.8,68,0
30.8,69,30
36.7,55,11
35.9,70,163
37.5,71,185
35.9,81,628
34.8,85,753
35.9,81,505
34.9,81,179
35.6,79,320
31.8,78,111
28.2,70,0
29,70,23
30.6,62,56
34.6,68,45
36.9,65,91
36.7,71,205
35.4,81,577
34,84,563
36,82,319
34.8,81,279
34.8,78,227
32.3,70,0
29,80,0
28.1,72,1
33.9,55,1
36,53,43
39.6,66,14
37.8,72,168
36.5,75,170
35.7,80,676
34.3,82,482
35.3,81,298
35.8,73,74
33.9,67,4
29,70,0
29,72,0
31.2,57,48
37.3,59,22
37.9,67,37
36.9,72,177
35.8,79,308
35.1,77,167
35.1,79,340
34,80,169
35.7,75,174
33.2,69,0
29.7,66,81
27.8,69,0
31,55,0
34.5,58,20
35.8,65,123
35.3,76,235
36,81,314
35.4,79,356
35,83,409
36.2,77,207
34.5,74,112
32.4,68,0
30,73,0
28.5,66,10
33,52,1
37.3,58,37
37.1,70,269
36.2,70,137
36.7,78,175
34.3,80,226
34.5,79,282
36.5,79,81
34.4,72,38
32.4,68,68
28.5,77,5
28.1,65,0
32.4,56,8
36,55,26
37,64,32
37.1,79,378
36.4,77,325
34.6,78,302
35,81,212
35.7,81,172
35.2,79,131
32.1,67,0
30.5,73,4
24.3,73,0
27.2,62,12.2
32.4,53,10.3
36.4,57,80.3
35.2,69,150
33.2,78,337.5
32.9,78,211.2
32.2,83,389.4
32.9,77,153.9
32.2,73,48.8
30.2,67,0
24.5,78,0
24.77,71,3.2
28.42,63,17.6
32.1,53,4.2
32.82,68,167
34.08,71,184.3
32.74,78,353.5
31.72,82,714.2
32.61,80,329.9
32.86,78,336.5
32.69,73,50.3
30.23,70,0
25.34,69,1.4
24.87,69,2.8
29.8,63,12.2
33.11,60,76.2
35.13,72,34.3
33.68,74,213.1
33.93,76,210.8
33.22,83,401.5
33.28,78,169.9
32.87,82,138.5
33.07,75,76.6
29.6,73,24.1
27.75,72,0
